symbol,cap_type,sector
AAVAS,Mid,Finance
ABCAPITAL,Mid,Finance
ABFRL,Mid,Consumer
AFFLE,Mid,IT
AJANTPHARM,Mid,Pharma
AMARAJABAT,Mid,Auto
ANGELBRKG,Mid,Finance
APOLLOTYRE,Mid,Auto
APTUS,Mid,Finance
ARVINDFASN,Mid,Consumer
ASHOKLEY,Mid,Auto
ASIANPAINT,Mid,Consumer
ATUL,Mid,Chemicals
AUBANK,Mid,Banking
BAJAJHFL,Mid,Finance
BSOFT,Mid,IT
CANFINHOME,Mid,Finance
CARBORUNIV,Mid,Industrials
CASTROLIND,Mid,Energy
CEATLTD,Mid,Auto
CGPOWER,Mid,Industrials
CLEAN,Mid,Chemicals
COFORGE,Mid,IT
CRAFTSMAN,Mid,Auto
CRISIL,Mid,Finance
CYIENT,Mid,IT
DALBHARAT,Mid,Cement
DEEPAKNITR,Mid,Chemicals
DIXON,Mid,Consumer
EIHOTEL,Mid,Consumer
ELGIEQUIP,Mid,Industrials
EMAMILTD,Mid,FMCG
ENGINERSIN,Mid,Industrials
EPIGRAL,Mid,Chemicals
ERIS,Mid,Pharma
FINEORG,Mid,Chemicals
FLUOROCHEM,Mid,Chemicals
FORTIS,Mid,Healthcare
GALAXYSURF,Mid,Chemicals
GRINDWELL,Mid,Industrials
HAPPSTMNDS,Mid,IT
HATSUN,Mid,FMCG
HOMEFIRST,Mid,Finance
INTELLECT,Mid,IT
JBCHEPHARM,Mid,Pharma
JKPAPER,Mid,Consumer
KALPATPOWR,Mid,Industrials
KARURVYSYA,Mid,Banking
KFINTECH,Mid,Finance
KIMS,Mid,Healthcare
KPIT,Mid,IT
KPRMILL,Mid,Textiles
KRBL,Mid,Agro
LATENTVIEW,Mid,IT
LAXMIMACH,Mid,Industrials
LEMONTREE,Mid,Consumer
LLOYDSME,Mid,Consumer
LTTS,Mid,IT
LUXIND,Mid,Consumer
MAHLIFE,Mid,Realty
MAXHEALTH,Mid,Healthcare
MEDANTA,Mid,Healthcare
MGCUB,Mid,Banking
NAVINIFLU,Mid,Chemicals
NBCC,Mid,Industrials
NCC,Mid,Industrials
NIACL,Mid,Finance
NOCIL,Mid,Chemicals
NUVAMA,Mid,Finance
OLECTRA,Mid,Auto
ORIENTELEC,Mid,Consumer
PCBL,Mid,Chemicals
POLYMED,Mid,Healthcare
SAPPHIRE,Mid,Textiles
SEQUENT,Mid,Pharma
SHYAMMETL,Mid,Metals
SJVN,Mid,Energy
SMLISUZU,Mid,Auto
SOLARA,Mid,Pharma
SONACOMS,Mid,Auto
SPANDANA,Mid,Finance
SPECIALITY,Mid,Chemicals
STAR,Mid,Media
SUDARSCHEM,Mid,Chemicals
SUNFLAG,Mid,Metals
SUNTV,Mid,Media
SWSOLAR,Mid,Energy
TATATECH,Mid,IT
TCNSBRANDS,Mid,Consumer
UGROCAP,Mid,Finance
UJJIVANSFB,Mid,Banking
VAIBHAVGBL,Mid,Consumer
VGUARD,Mid,Consumer
VINATIORGA,Mid,Chemicals
VIPIND,Mid,Consumer
VSTIND,Mid,FMCG
WELSPUNLIV,Mid,Textiles
WINDLAS,Mid,Pharma
ZENSARTECH,Mid,IT
ZENTEC,Mid,IT
AARTIIND,Mid,Chemicals
AARTIDRUGS,Mid,Pharma
ABBOTINDIA,Mid,Pharma
AEGISCHEM,Mid,Chemicals
ALKYLAMINE,Mid,Chemicals
ALKEM,Mid,Pharma
ANURAS,Mid,Agro
APTUS,Mid,Finance
ASALCBR,Mid,Agro
BORORENEW,Mid,Chemicals
BRIGADE,Mid,Realty
CAMPUS,Mid,Consumer
CCL,Mid,FMCG
CENTURYPLY,Mid,Consumer
CHALET,Mid,Consumer
CHAMBLFERT,Mid,Agro
CMSINFO,Mid,IT
DATAPATTNS,Mid,IT
DCB,Mid,Banking
DCM,Mid,Textiles
DHAMPUR,Mid,Agro
ECLERX,Mid,IT
EIDPARRY,Mid,Agro
FOSELEA,Mid,Industrials
GESHIP,Mid,Industrials
GILLETTE,Mid,FMCG
GODFRYPHLP,Mid,FMCG
GPPL,Mid,Industrials
GRAPHITE,Mid,Industrials
HLEGLAS,Mid,Consumer
IBREALEST,Mid,Realty
ICICIB22,Mid,Finance
INDIAMART,Mid,IT
INGERRAND,Mid,Industrials
INSPIRISYS,Mid,IT
ITDCEM,Mid,Industrials
JAMNAAUTO,Mid,Auto
JAYNECOIND,Mid,Metals
JLHL,Mid,Healthcare
KENNAMET,Mid,Industrials
KITEX,Mid,Textiles
KRSNAA,Mid,Healthcare
LASA,Mid,Pharma
LINC,Mid,Consumer
MAPMYINDIA,Mid,IT
MARKSANS,Mid,Pharma
MIDHANI,Mid,Metals
NESCO,Mid,Consumer
NEULANDLAB,Mid,Pharma
NEWGEN,Mid,IT
NFL,Mid,Agro
NIACL,Mid,Finance
OPTIEMUS,Mid,Consumer
ORCHPHARMA,Mid,Pharma
ORIENT,Mid,Consumer
ORIENTCEM,Mid,Cement
PANAMAPET,Mid,Energy
PATELENG,Mid,Industrials
PENIND,Mid,Auto
PGHL,Mid,FMCG
PNCINFRA,Mid,Industrials
PRINCEPIPE,Mid,Consumer
QUICKHEAL,Mid,IT
RAILTEL,Mid,IT
RAJRATAN,Mid,Auto
RELINFRA,Mid,Industrials
ROLEXRINGS,Mid,Auto
ROSSARI,Mid,Chemicals
RVNL,Mid,Industrials
SAREGAMA,Mid,Media
SEPC,Mid,Industrials
SHARDACROP,Mid,Agro
SMSLIFE,Mid,Pharma
SPENCERS,Mid,Consumer
SPORTKING,Mid,Textiles
STYRENIX,Mid,Chemicals
SUVEN,Mid,Pharma
SUVENPHAR,Mid,Pharma
SYMPHONY,Mid,Consumer
THANGAMAYL,Mid,Consumer
TINPLATE,Mid,Metals
TIPSINDLTD,Mid,Media
TRIL,Mid,Realty
UNIINFO,Mid,IT
