symbol,cap_type,sector
AAKASH,Small,Healthcare
AAREYDRUGS,Small,Pharma
AARTIPHARM,Small,Pharma
ABMINTLLTD,Small,Consumer
ACLGATI,Small,Industrials
ACMESOLAR,Small,Energy
ACROPETAL,Small,IT
ADANIENSOL,Small,Energy
ADANIGREEN,Small,Energy
ADSL,Small,Industrials
AEGISLOG,Small,Industrials
AETHER,Small,Chemicals
AGSTRA,Small,Agro
AHMEDABADDIS,Small,Banking
AJMERA,Small,Realty
ALEMBICLTD,Small,Pharma
ALEXISANTI,Small,Pharma
ALICON,Small,Auto
ALKYLAMINE,Small,Chemicals
ALPA,Small,Pharma
ALPHAGEO,Small,Energy
ALSTONE,Small,Consumer
AMBIKCO,Small,Textiles
AMJUMBO,Small,Consumer
AMPERE,Small,Auto
ANANTRAJ,Small,Realty
ANCHIANO,Small,Pharma
ANDHRSUGAR,Small,Agro
ANUPAM,Small,Chemicals
APEX,Small,Finance
APTECHT,Small,IT
ARCHIDPLY,Small,Consumer
ARCOTECH,Small,Metals
ARFIN,Small,Finance
ARHAM,Small,Finance
ARJUN,Small,Industrials
ARMANFIN,Small,Finance
ARROWGREEN,Small,Agro
ARSHIYA,Small,Industrials
ARVIND,Small,Textiles
ARVSMART,Small,Textiles
ASALCBR,Small,Agro
ASHIANA,Small,Realty
ASHIMASYN,Small,Textiles
ASKAUTOLTD,Small,Auto
ASPINWALL,Small,Industrials
ASTERDM,Small,Healthcare
ASTIINDIA,Small,Auto
ASTRAMICRO,Small,Industrials
ASUPERFINE,Small,Consumer
ATUL,Small,Chemicals
ATULAUTO,Small,Auto
AURUM,Small,Realty
AUROPHARMA,Small,Pharma
AUTOAXLES,Small,Auto
AUTOLITIND,Small,Auto
AVANTIFEED,Small,Agro
AVTNPL,Small,Agro
AXISCADES,Small,IT
AYMSYNTEX,Small,Textiles
AZAD,Small,IT
BAJAJCON,Small,FMCG
BAJAJHFL,Small,Finance
BALAXI,Small,Pharma
BALMLAWRIE,Small,Energy
BALPHARMA,Small,Pharma
BALRAMCHIN,Small,Agro
BASF,Small,Chemicals
BBTC,Small,Consumer
BCONCEPTS,Small,Consumer
BEML,Small,Industrials
BFINVEST,Small,Finance
BGRENERGY,Small,Energy
BHAGERIA,Small,Chemicals
BHANDARI,Small,Consumer
BHARAT,Small,Consumer
BHARATFORG,Small,Auto
BHARATGEAR,Small,Auto
BHARATRAS,Small,Finance
BHEL,Small,Industrials
BHINMAL,Small,Finance
BHOTMARG,Small,Industrials
BIGBLOC,Small,Industrials
BINANIIND,Small,Industrials
BIRA91,Small,FMCG
BLISSGVS,Small,Pharma
BOCL,Small,Industrials
BOROLTD,Small,Consumer
BPCL,Small,Energy
BPLLTD,Small,Consumer
BRENDAN,Small,Consumer
BRFL,Small,Textiles
BRITANNIA,Small,FMCG
BSLINDIA,Small,Textiles
BURNPUR,Small,Metals
BYKE,Small,Consumer
CALCOM,Small,Industrials
CAMSONBIO,Small,Agro
CAPACITE,Small,Industrials
CAPLIPOINT,Small,Pharma
CAREERPT,Small,Consumer
CARERATING,Small,Finance
CARTRADE,Small,Consumer
CCHHL,Small,Consumer
CENTENKA,Small,Textiles
CENTUM,Small,Industrials
CENTURY,Small,Textiles
CERATEC,Small,Industrials
CESC,Small,Energy
CESCVENT,Small,Energy
CGLITD,Small,Consumer
CHEMCON,Small,Chemicals
CHEMFAB,Small,Chemicals
CHENNPETRO,Small,Energy
CHIMERARBA,Small,Pharma
CHOLAMFIN,Small,Finance
CIGNITITEC,Small,IT
CINELINE,Small,Media
CMSINFO,Small,IT
CNXMIDCAP,Small,Finance
COCHINSHIP,Small,Industrials
COLORCHIPS,Small,IT
COMPINFO,Small,IT
CONCORDBIO,Small,Pharma
CONFIPET,Small,Energy
CONTROLPR,Small,Industrials
CORALLAB,Small,Healthcare
COSBOARD,Small,Consumer
COSMOFILMS,Small,Consumer
CRAFTSMAN,Small,Auto
CREDITACC,Small,Finance
CREST,Small,Finance
DAMODARIND,Small,Textiles
DANAHER,Small,Healthcare
DARCL,Small,Industrials
DATAMATICS,Small,IT
DAVANGERE,Small,Banking
DBCORP,Small,Media
DBLCORP,Small,Realty
DCB,Small,Banking
DCBBANK,Small,Banking
DCMSHRIRAM,Small,Agro
DECCAN,Small,Consumer
DEEPINDS,Small,Industrials
DELNAVIS,Small,Industrials
DELTACORP,Small,Consumer
DENABANK,Small,Banking
DFMFOODS,Small,FMCG
DHARITRI,Small,Agro
DHUNSERI,Small,Agro
DIACABS,Small,Industrials
DIAMONDYD,Small,Consumer
DIGJAM,Small,Textiles
DISHTV,Small,Media
DIVGI,Small,Auto
DLINKINDIA,Small,IT
DMCC,Small,Finance
DNAMEDIA,Small,Media
DOLLAR,Small,Textiles
DPSCLTD,Small,Consumer
DRSINGH,Small,Healthcare
DSSL,Small,IT
DWARKESH,Small,Agro
DYNAMATECH,Small,Industrials
E2E,Small,IT
EDELWEISS,Small,Finance
EFFICIENTP,Small,Energy
EID,Small,Agro
EIH,Small,Consumer
EIHOTEL,Small,Consumer
ELECTHERM,Small,Industrials
ELGIEQUIP,Small,Industrials
EMKAY,Small,Finance
EMUDHRA,Small,IT
ENKEI,Small,Auto
ENNORE,Small,Energy
EPACK,Small,Consumer
EPIGRAL,Small,Chemicals
EQUITAS,Small,Finance
EQUITASBNK,Small,Banking
ERIS,Small,Pharma
ESABINDIA,Small,Industrials
ESAFSFB,Small,Banking
ESCORTS,Small,Auto
EUROBOND,Small,Finance
EXCEL,Small,Chemicals
EXLSERVICE,Small,IT
FCSSOFT,Small,IT
FDCLTD,Small,Pharma
FEDERALBNK,Small,Banking
FINEORG,Small,Chemicals
FINOLEX,Small,Industrials
FINPIPE,Small,Industrials
FMGOETZE,Small,Auto
FORCEMOT,Small,Auto
GAGAN,Small,Agro
GALLANTT,Small,Metals
GANDHAR,Small,Chemicals
GARUDA,Small,Industrials
GATEWAY,Small,Industrials
GCLGAS,Small,Energy
GENESYS,Small,IT
GENNOVA,Small,Pharma
GFSTEELS,Small,Metals
GHCL,Small,Chemicals
GITANJALI,Small,Consumer
GLOBUS,Small,Textiles
GMBREW,Small,FMCG
GOCOLORS,Small,Consumer
GOLDENTORC,Small,Consumer
GOODRICKE,Small,Agro
GPEC,Small,Energy
GRANUCAST,Small,Auto
GREENPANEL,Small,Consumer
GREENPLY,Small,Consumer
GREENVALU,Small,Energy
GRSE,Small,Industrials
GTLINFRA,Small,Telecom
GUJAGAS,Small,Energy
GULFOILLUB,Small,Energy
GVKPIL,Small,Industrials
HAL,Small,Industrials
HAPPYFORGE,Small,Auto
HARSHA,Small,Auto
HATHWAY,Small,Media
HBLPOW,Small,Industrials
HCGONCOLOGY,Small,Healthcare
HDFCBANK,Small,Banking
HDFCERGO,Small,Finance
HERITAGE,Small,FMCG
HERITGFOOD,Small,FMCG
HIKAL,Small,Chemicals
HILTON,Small,Consumer
HINDCOMPOS,Small,Auto
HINDCOPPER,Small,Metals
HINDNATGLS,Small,Consumer
HINDOLI,Small,FMCG
HINDPETRO,Small,Energy
HINDWAREAP,Small,Consumer
HLEGLAS,Small,Consumer
HMVL,Small,Media
HOEC,Small,Energy
HONASA,Small,Consumer
HONDAPOWER,Small,Auto
HEG,Small,Industrials
ICICIBANK,Small,Banking
ICRA,Small,Finance
IDFC,Small,Finance
IDFCFIRSTB,Small,Banking
IEX,Small,Finance
IFBIND,Small,Consumer
IIFL,Small,Finance
IIFLWAM,Small,Finance
IITL,Small,Finance
IKMF,Small,Finance
IMAGICAA,Small,Consumer
INDIABULLS,Small,Finance
INDIAGLYCO,Small,Agro
INDIAHOOD,Small,Consumer
INDIGOPNTS,Small,Consumer
INDORAMA,Small,Textiles
INDOSTAR,Small,Finance
INDRAPRASTH,Small,Energy
INFIBEAM,Small,IT
INFINIUM,Small,Finance
INOXWIND,Small,Energy
INSECTICID,Small,Agro
INTEGRA,Small,IT
INTELLECT,Small,IT
INVENTURE,Small,Finance
IPCALAB,Small,Pharma
IRCON,Small,Industrials
ISGEC,Small,Industrials
ITI,Small,Industrials
IZMO,Small,Auto
JB,Small,Pharma
JAYAGROGN,Small,Agro
JBMA,Small,Auto
JETAIRWAYS,Small,Consumer
JISLJALEQS,Small,Agro
JKIL,Small,Industrials
JKLAKSHMI,Small,Cement
JMFINANCIL,Small,Finance
JPASSOCIAT,Small,Realty
JPPOWER,Small,Energy
JSWENERGY,Small,Energy
JTLIND,Small,Metals
JUGNU,Small,Consumer
JYOTIRES,Small,Auto
KCP,Small,Cement
KDDL,Small,Consumer
KECL,Small,Industrials
KIMS,Small,Healthcare
KKALPANAIND,Small,Consumer
KPEL,Small,Industrials
KRSNAA,Small,Healthcare
KUNDAN,Small,Consumer
LASA,Small,Pharma
LCC,Small,Realty
LGBBROSLTD,Small,Auto
LINC,Small,Consumer
LKPFIN,Small,Finance
LLOYDSME,Small,Consumer
LMELEC,Small,Industrials
LOHASTECH,Small,IT
LOKESHMA,Small,Industrials
LPDC,Small,Consumer
LUNA,Small,Consumer
